question,gold_program,pred_program,gold_answer,pred_answer,execution_accuracy,program_accuracy,error_type
what is the net change in net revenue during 2015 for entergy corporation?,"subtract(5829, 5735)",,94.0,,False,False,Parsing Error
what percentage of total facilities as measured in square feet are leased?,"divide(8.1, 56.0)",,0.14464,,False,False,Parsing Error
what is the percentage change in cash flow hedges in 2011 compare to the 2010?,"subtract(153.7, 139.9), divide(#0, 139.9)",,0.09864,,False,False,Parsing Error
what portion of total purchase price is related to stock awards?,"divide(121.4, 4187.8)",,0.02899,,False,False,Parsing Error
what was the difference in percentage cumulative total shareholder return on masco common stock versus the s&p 500 index for the five year period ended 2017?,"subtract(318.46, const_100), divide(#0, const_100), subtract(206.49, const_100), divide(#2, const_100), subtract(#1, #3)",,1.1197,,False,False,Parsing Error
"what was the percentage change in total rental expense under operating leases from july 2 , 2005 to july 1 , 2006?","subtract(92710000, 86842000), divide(#0, 86842000)",,0.06757,,False,False,Parsing Error
what percent of total recourse debt is current?,"divide(463, 4612)",,0.10039,,False,False,Parsing Error
what percentage of future minimum rental payments are due in 2018?,"divide(301, 2575)",,0.11689,,False,False,Parsing Error
did altria outperform the s&p 500?,"greater(286.61, 198.09)",,yes,,False,False,Parsing Error
what was the change in unrecognized tax benefits from the end of 2014 to the end of 2015?,"subtract(1136, 1171)",,-35.0,,False,False,Parsing Error
what is the growth rate in the balance of standby letters of credit from 2006 to 2007?,"subtract(4711, 4926), divide(#0, 4926)",,-0.04365,,False,False,Parsing Error
what is the debt-to-asset ratio?,"divide(817388, 3644331)",,0.22429,,False,False,Parsing Error
what portion of the total noncancelable future lease commitments are due in fiscal year of 2019?,"divide(137.4, 559.3)","subtract(5829,5735)",0.24566,13.3,False,False,Retrieval Error
was the five year total return of the 2019 peer group greater than the 2018 peer group?,"greater(281.09, 286.22)",,no,,False,False,Parsing Error
what was the percentage change in deferred tax assets and regulatory assets from 2013 to 2014,"subtract(6348, 6241), divide(#0, 6241)",,0.01714,9.1,False,False,Parsing Error
"what was the average net annual change in discounted future net cash flows ( in millions ) for the years 2011 , 2010 , and 2009?","table_average(net change for the year, none)",,3297.66667,1.0,False,False,Parsing Error
"assuming each continent has the same number of destinations , approximately how many destinations does each continent have?","divide(455, const_7)",,65.0,,False,False,Parsing Error
what was the average net revenue between 2016 and 2017 in millions,"add(703.1, 705.4), add(#0, const_2), divide(#1, const_2)","subtract(705.4, 703.1)",705.25,94.0,False,False,Retrieval Error
the combined amount of accrued interest and penalties related to tax positions taken on our tax returns and included in non-current income taxes payable was what percent of the total ending balance as of november 28 2008?,"divide(139549, const_1000), divide(15.3, #0)","subtract(139549, 577000)",0.10964,28.5,False,False,Retrieval Error
"in 2010 and 2009 , what was the total fair value in billions of assets segregated for the benefit of securities and futures brokerage customers?","add(25.0, 24.0), add(9.7, 10.2), add(#1, #0)","subtract(10000,5000)",68.9,10.0,False,False,Retrieval Error
what was the percentage change in the commercial mortgage loans designated for sale at fair value from 2008 to 2009,"subtract(772, 843), divide(#0, 843)",,-0.08422,,False,False,Parsing Error
"what was the difference in percentage cumulative 5-year total shareholder return on common stock fidelity national information services , inc . compared to the s&p 500 for the period ending 12/16?","subtract(198.18, const_100), divide(#0, const_100), subtract(311.81, const_100), divide(#2, const_100), subtract(#3, #1)",,1.1363,,False,False,Parsing Error
for the quarter ended march 312015 what was the percentage change in the share price from the highest to the lowest,"subtract(101.88, 93.21), divide(#0, 93.21)",,0.09302,,False,False,Parsing Error
of the total contractual obligations and off-balance sheet arrangements contractual obligations what percentage is due to capital lease obligations?,"divide(230, 13208)",,0.01741,0.41,False,False,Parsing Error
what is the ratio of the total flight attendants to total maintenance personnel,"divide(26900, 16900)",,1.59172,,False,False,Parsing Error
as of december 2007 what was the ratio of the square footage in alpharetta georgia to charlotte north carolina,"divide(219000, 83000)",,2.63855,,False,False,Parsing Error
in 2010 what was the percent of the income tax benefit to the stock based compensation cost,"divide(6.3, 18.1)",,0.34807,,False,False,Parsing Error
